La Paz
Laos
Latvia
Lebanon
Lesotho
Liberia
Libreville
Libya
Liechtenstein
Lilongwe
Lima
Lisbon
Lithuania
Ljubljana
Lome
London
Longyearbyen
Luanda
Lusaka
Luxembourg
Luxembourg
