Gabon
Gambia
Georgia
Germany
Ghana
Greece
Grenada
Guatemala
Guinea
Guinea-Bissau
Guyana
Gaborone
George Town
Georgetown
Georgetown
Gibraltar
Gitega
Guatemala City
Gustavia
