Macau
Macedonia
Madagascar
Madrid
Majuro
Malabo
Malawi
Malaysia
Maldives
Male
Mali
Malta
Managua
Manama
Manila
Maputo
Mariehamn
Marigot
Marshall Islands
Maseru
Mata-Utu
Mauritania
Mauritius
Mbabane
Melekeok
Mexico
Mexico City
Minsk
Mogadishu
Moldova
Monaco
Monaco
Mongolia
Monrovia
Montenegro
Montevideo
Montserrat
Morocco
Moroni
Moscow
Mozambique
Muscat
Myanmar
